horizon_h,model,MAE,RMSE,R2
1,Persistence,2.769523269012486,5.052544452882541,0.9752692548744786
1,Seasonal_naive_24h,9.120317820658343,17.093600106054257,0.7169364202306641
1,AR(24)_frozen,2.4094716009719717,4.471038673517771,0.980617044093891
1,Ridge,4.957968895889629,7.811533742975944,0.9408861096775836
1,RandomForest,5.2238708760457655,7.599789312418601,0.9440474324201014
1,XGBoost,5.021145983462166,7.57432863375854,0.9444217070128057
2,Persistence,4.795981382676808,8.554085869380396,0.9291155240515189
2,Seasonal_naive_24h,9.120899080485867,17.094517187666973,0.7169145160016701
2,AR(24)_frozen,4.175056478466429,7.534602578527742,0.9450048207920104
2,Ridge,6.320343062220077,10.49472778139809,0.8933044570071194
2,RandomForest,5.911823454423573,9.301030400064162,0.9161957488851907
2,XGBoost,5.499153835028629,8.843464742092156,0.9242384556025496
3,Persistence,6.298160762942779,11.117849731496394,0.8802630494203152
3,Seasonal_naive_24h,9.121673478655769,17.09546999156548,0.716894254141281
3,AR(24)_frozen,5.35829879332333,9.537728284525958,0.9118795947792735
3,Ridge,7.42316663852133,12.571992984202192,0.8468930680939994
3,RandomForest,6.149373797331493,10.216490047504333,0.8988909508175885
3,XGBoost,5.966894333585622,9.867427919062674,0.9056820139076281
4,Persistence,7.466083796979675,13.130457729155212,0.8329965662726455
4,Seasonal_naive_24h,9.122607017145453,17.0964378356924,0.716875839361266
4,AR(24)_frozen,6.2041890906369,11.018885085053176,0.882390886443348
4,Ridge,8.188944693154394,14.119389787638973,0.8068932190061395
4,RandomForest,6.462470394633362,10.91001466399457,0.8847034432703876
4,XGBoost,6.448421295330502,10.716563834501821,0.8887559531386957
