Model,MAE,RMSE,R2
AR(24)_frozen,2.4094716009719717,4.471038673517771,0.980617044093891
Persistence,2.769523269012486,5.052544452882541,0.9752692548744786
Ridge,4.957968895889629,7.811533742975944,0.9408861096775836
XGBoost,5.021145983462166,7.57432863375854,0.9444217070128057
RandomForest,5.2238708760457655,7.599789312418601,0.9440474324201014
Seasonal_naive_24h,9.120317820658343,17.093600106054257,0.7169364202306641
