Model,MAE,RMSE,R2
Persistence,2.7383035112512233,4.886996969569844,0.9757153253381313
Seasonal_naive_24h,9.168053918904228,16.556398774913458,0.7212724440634521
Rolling_mean_24h,7.224792377794687,12.790429679979393,0.833651680086545
AR(24)_frozen,2.374966571663443,4.2743558990959265,0.98140600300007
LinearRegression,4.77174386554827,7.575259338634698,0.9416496908727902
Ridge,5.096031942468899,7.858460280713561,0.9372052876872253
RandomForest,5.264927890531199,7.483689659073918,0.9430518409720169
MLP,5.627489036709314,7.755315512648195,0.9388428705796226
XGBoost,5.020782284601756,7.283056352411294,0.9460644029199681
