horizon_h,model,MAE,RMSE,R2
1,Persistence,2.7491887699593427,4.9267601568842325,0.976716588623604
1,Seasonal_naive_24h,9.250071199006145,16.932422220389352,0.7249814747299165
1,AR(24)_frozen,2.412435216589798,4.3895529476295625,0.9814840099941438
1,SARIMA_auto,2.4561181121790563,4.419413319628188,0.9812650296213968
1,Ridge,4.6618862545691995,8.21449948460852,0.9352729247245719
1,RandomForest,4.40990204639221,6.90046414657942,0.9543248084157302
1,RandomForest_tuned,3.9704661766815788,6.473986097297155,0.9597961822945631
1,XGBoost,4.010996474736958,6.662756943103799,0.9574174454634549
1,XGBoost_tuned,3.730224312011612,6.939817635675028,0.9538023497395832
2,Persistence,4.750545491283906,8.338634038707816,0.9332932823205156
2,Seasonal_naive_24h,9.249586165881055,16.932740642494842,0.7249356822136377
2,AR(24)_frozen,4.1603835406285965,7.392095143041793,0.9475778487328909
2,Ridge,6.098690741131308,10.652532754540461,0.8911356961523142
2,RandomForest,5.248256146318091,8.686460578134856,0.9276121880833135
2,RandomForest_tuned,5.021136028023546,8.460310906374485,0.9313323176416994
2,XGBoost,5.0780656369813055,8.540285620339796,0.9300279602635289
2,XGBoost_tuned,4.876289582347818,8.839817836136334,0.925033648607938
3,Persistence,6.260499984901162,10.843678494437285,0.8871747710999618
3,Seasonal_naive_24h,9.248917145300439,16.932901173402463,0.7248840906854337
3,AR(24)_frozen,5.356710368820728,9.37495082264684,0.9156682807010312
3,Ridge,7.21069450393287,12.551597534101075,0.8488350974703787
3,RandomForest,5.783349895153493,9.9235313068563,0.9055100876160038
3,RandomForest_tuned,5.652515278583972,9.718150255803272,0.9093808097498591
3,XGBoost,5.633646030606195,9.721630098661976,0.9093159008954379
3,XGBoost_tuned,5.469232876073984,9.73547666698029,0.9090573932614375
4,Persistence,7.441114735713307,12.8074999573141,0.8425747604015349
4,Seasonal_naive_24h,9.2483824511347,16.93317904956912,0.7248163429380803
4,AR(24)_frozen,6.209561978443254,10.833616787482942,0.8873600171663897
4,Ridge,8.07010551411685,13.966458929824348,0.8127946508524537
4,RandomForest,6.289534726531656,10.74347575198561,0.8892266594685654
4,RandomForest_tuned,6.121809708639461,10.61714348483422,0.8918165044248547
4,XGBoost,6.09487991219114,10.348731679711797,0.8972173311637908
4,XGBoost_tuned,5.980712371818547,10.558068202347306,0.8930170515287394
