fold,model,MAE,RMSE,R2
6,XGBoost,1.0187303664433378,1.4094961972784084,0.604155427753706
6,XGBoost_tuned,0.9484119556251085,1.3200425240521076,0.6528055925333287
7,Persistence,0.894383272206189,1.366241094547301,0.90224184647109
7,Seasonal_naive_24h,3.211369811207311,5.611480995933999,-0.6491239334993033
7,AR(24)_frozen,0.8964628091839115,1.3530327957932722,0.9041228869349189
7,SARIMA_auto,0.8910977609584377,1.3504866928672097,0.9044833856841583
7,Ridge,1.3998455656766327,2.1327576441558493,0.7617783018853558
7,RandomForest,1.5078442501116127,2.1264065171412225,0.7631949874846288
7,RandomForest_tuned,1.3567716300067612,1.9638127217287116,0.7980246172263388
7,XGBoost,1.4169698348174402,2.0153474598054397,0.7872849754191155
7,XGBoost_tuned,1.274528093134556,1.8985941698443891,0.8112171285757357
8,Persistence,0.787378558401475,1.1454092690879882,0.8872711013211882
8,Seasonal_naive_24h,2.257581166827,2.917247249872874,0.2687592998943943
8,AR(24)_frozen,0.748195815768823,1.0802194523265778,0.8997376533843315
8,SARIMA_auto,0.7530692354681082,1.0785790303078868,0.9000419391044354
8,Ridge,1.24701391371959,1.7313058970261364,0.7424500356158633
8,RandomForest,1.32722126610304,1.7514056023858793,0.7364352373110766
8,RandomForest_tuned,1.1515757764175034,1.562959212583413,0.7901015812007501
8,XGBoost,1.4452043468337994,1.8484244499872382,0.7064262052465766
8,XGBoost_tuned,1.0857276175425912,1.4560409935092975,0.8178366173586128
9,Persistence,1.0391622234247233,1.5114335858805619,0.820079931987828
9,Seasonal_naive_24h,3.166228222703223,4.288782802394856,-0.44867036173941255
9,AR(24)_frozen,0.9831427396173921,1.4249404667130143,0.840082898434472
9,SARIMA_auto,0.9715957640822022,1.4186228336497995,0.8414977756986006
9,Ridge,1.5898282650683049,2.2668994323470324,0.5952694595263976
9,RandomForest,1.2979317000632469,1.8944705750826858,0.7173316408290537
9,RandomForest_tuned,1.189173630705067,1.742480876987879,0.7608681020932603
9,XGBoost,1.327177541739814,1.8788521293965175,0.721973192932534
9,XGBoost_tuned,1.1664470702858716,1.7011197443609625,0.7720858756729596
10,Persistence,1.724039043710919,2.564776237258543,0.8927451138759909
10,Seasonal_naive_24h,5.454101367845118,8.006440832014684,-0.04519451182188128
10,AR(24)_frozen,1.5731997136600664,2.4039578650538576,0.9057737676111303
10,SARIMA_auto,1.578323680411373,2.4242745257232134,0.9041743619980513
10,Ridge,2.749520349015931,3.9297460788495804,0.7482049998694908
10,RandomForest,2.177789950422519,3.1767287778903546,0.8354573838261479
10,RandomForest_tuned,2.0382813395743824,3.006741080296218,0.8525956886627369
10,XGBoost,2.0883380537934,3.043563917118919,0.8489631300121536
10,XGBoost_tuned,1.923783569519092,2.8438753280717743,0.8681320573186717
11,Persistence,3.7076239914021163,5.241348248138698,0.9289947395256208
11,Seasonal_naive_24h,11.636667427248677,16.311807549155226,0.3122847257831597
11,AR(24)_frozen,2.9971817310486815,4.343600321852008,0.9512354517091867
11,SARIMA_auto,3.1366770188780175,4.440413442726304,0.9490374313015153
11,Ridge,6.51440214312915,8.974478263170958,0.7918277134898457
11,RandomForest,3.7127013757829936,5.189115756038381,0.9304028893596051
11,RandomForest_tuned,3.3930240209714664,4.779853991892717,0.9409481165904926
11,XGBoost,3.285785661290941,4.682909792871896,0.9433191862771
11,XGBoost_tuned,3.124342664646977,4.461402836447254,0.9485545026042992
12,Persistence,4.838998760735738,6.688942599529175,0.960278256140628
12,Seasonal_naive_24h,19.660365929487824,26.106033419074425,0.3949445911802201
12,AR(24)_frozen,4.231508969579886,5.999269218776743,0.9680471153749848
12,SARIMA_auto,4.3634950766864415,6.02270565202063,0.9677969767824023
12,Ridge,8.42422943828503,11.460297771543233,0.8833982221205001
12,RandomForest,6.15921041393313,9.187415612107129,0.9250623457392031
12,RandomForest_tuned,5.53632400833994,8.397220406933368,0.9373985383562206
12,XGBoost,5.160192605139754,7.814127339973499,0.9457906328994092
12,XGBoost_tuned,4.818425096076859,7.188797986228576,0.9541197339582909
