station_id,Model,MAE,RMSE,R2,n_test
24,AR(24)_frozen,3.211605741664128,6.034616934686856,0.8959667071719453,8505
24,Persistence,3.3503350970017642,6.570176055775072,0.8767951229780591,8505
24,Ridge,3.602540210295389,6.4418475110438935,0.8815609908266532,8505
24,XGBoost,3.81399550109944,6.459145557126059,0.8809240573481639,8505
24,RandomForest,4.3654958106418125,7.323576738779487,0.8469193285652817,8505
24,Seasonal_naive_24h,7.201587301587302,12.14342357153142,0.5791220505977467,8505
25,AR(24)_frozen,6.121045867977784,19.13590808866592,0.767424382147485,5970
25,Persistence,6.157604690117253,21.028200787610015,0.7194010415338181,5970
25,Ridge,6.44457053304958,18.40353952069098,0.785076185191733,5970
25,XGBoost,6.87903391851652,18.093463090084885,0.792257563059777,5970
25,RandomForest,7.289740185237416,18.650901509360096,0.7792597746315797,5970
25,Seasonal_naive_24h,12.750435510887772,29.670729375075794,0.44135197331656495,5970
155,AR(24)_frozen,5.494280659092779,10.043385899044678,0.9391098663710001,4948
155,Persistence,5.669482619240098,10.42654511657175,0.9343679918014234,4948
155,XGBoost,5.952070556269023,10.492925131628002,0.9335296466277736,4948
155,Ridge,6.068726771795983,10.443366957122791,0.9341560439732018,4948
155,RandomForest,6.245109838701848,10.907992448068958,0.9281669186150199,4948
155,Seasonal_naive_24h,18.113803556992725,32.80647973604889,0.3502383094277667,4948
27,AR(24)_frozen,2.6818145938703197,4.804539340849087,0.8753906149427169,4523
27,Persistence,2.6976343135087335,5.04207079390804,0.8627396625712286,4523
27,Ridge,3.0929283036896282,5.022832662282646,0.8637851039585698,4523
27,XGBoost,3.640395397299717,5.7486426885745505,0.8215741332996187,4523
27,RandomForest,4.1224388527289655,6.134699084990919,0.7968046741157261,4523
27,Seasonal_naive_24h,6.406389564448375,10.153599080472778,0.44336923509822734,4523
1,AR(24)_frozen,1.369522183850316,2.814028138574711,0.7742852078733589,3094
1,Persistence,1.4302197802197802,3.0331890710158604,0.7392274658620748,3094
1,XGBoost,1.4448707483626984,2.6918423389843955,0.7946181214732237,3094
1,RandomForest,1.566837467190964,2.8456675986704,0.7704743529896304,3094
1,Ridge,1.6243299156313604,2.932683220595347,0.7562227401266662,3094
1,Seasonal_naive_24h,2.4752100840336135,4.356034012794271,0.4621695252619601,3094
4,AR(24)_frozen,4.809033685137901,7.6374562827940515,0.9214669695917027,3027
4,Persistence,5.061942517343905,8.11425391623362,0.9115059792299084,3027
4,XGBoost,5.219311510693487,8.247502286124863,0.9085757029991207,3027
4,Ridge,5.288117519251944,8.309663336399003,0.9071923880281134,3027
4,RandomForest,5.4198119263457665,8.406025631741473,0.9050274365947417,3027
4,Seasonal_naive_24h,12.30782953419227,18.52558066786569,0.53872448836584,3027
235,AR(24)_frozen,7.134269521126693,12.057342733953199,0.9021909298476095,2750
235,Persistence,7.379854545454546,12.494886481349807,0.8952119031322852,2750
235,Ridge,8.13433631237395,13.44547625601698,0.8786611978093694,2750
235,RandomForest,9.20627075537067,15.03198253704164,0.8483369280651032,2750
235,XGBoost,9.481685979392312,16.020302574250213,0.8277382908594365,2750
235,Seasonal_naive_24h,18.9694,28.60168000469394,0.45092659311864347,2750
11,AR(24)_frozen,6.308779404017974,9.147111741206766,0.9419211148909307,2641
11,Persistence,6.417228322605075,9.462186447061532,0.9379310951609752,2641
11,Ridge,6.592350767871553,9.472137105632106,0.937800480267969,2641
11,XGBoost,7.636327765828414,11.078631932477194,0.9149129732856406,2641
11,RandomForest,7.751476960077657,11.029496638066076,0.9156660455003135,2641
11,Seasonal_naive_24h,18.648882998864064,26.235412203062424,0.5228368859752113,2641
12,AR(24)_frozen,5.110953292628453,8.959299509926003,0.9012192856704511,2633
12,Persistence,5.493315609570832,9.491724491571684,0.8893038117525343,2633
12,Ridge,5.759917593838363,9.365324410099829,0.8922324349631857,2633
12,RandomForest,6.107935088089237,9.80111160836045,0.8819698149056006,2633
12,XGBoost,6.174573609406079,10.17569574739825,0.8727755315381688,2633
12,Seasonal_naive_24h,14.401446385618431,21.274962052707316,0.44386528286687343,2633
7,AR(24)_frozen,2.437636137056301,4.725038395708195,0.8386585174369743,2583
7,Persistence,2.5363530778164924,5.004804118680065,0.8191627428956016,2583
7,XGBoost,2.719869376078069,4.899456399564101,0.8266956209119428,2583
7,RandomForest,2.876351848319828,5.245421083195434,0.8013564549093188,2583
7,Ridge,2.982137353860958,5.136334018007295,0.8095327730233272,2583
7,Seasonal_naive_24h,5.018931475029037,8.28534557031342,0.5043957794459328,2583
211,AR(24)_frozen,5.463284615926722,8.342528694590014,0.9263476687488378,2525
211,Persistence,5.6084356435643565,8.766791752047176,0.9188029324738409,2525
211,Ridge,6.404085441399454,9.639494877547115,0.901832548215226,2525
211,RandomForest,7.227021515196677,10.883141303262459,0.8748682553032742,2525
211,XGBoost,8.097406326671639,12.714818279797273,0.8292033771123252,2525
211,Seasonal_naive_24h,15.544435643564356,22.355651377556672,0.4720003667020939,2525
110,AR(24)_frozen,9.716925587702631,17.770595706148715,0.8536106243158212,2194
110,Persistence,9.978896991795807,18.91286941328412,0.8341710255788524,2194
110,Ridge,10.197450577803952,18.18262376225403,0.8467294655929218,2194
110,RandomForest,14.332600537779044,25.290913119913796,0.7034659382343631,2194
110,XGBoost,15.775622095883492,28.605714259554052,0.6206403295443825,2194
110,Seasonal_naive_24h,21.62967183226983,33.753600098343675,0.47181535883873804,2194
14,Persistence,6.637037037037038,11.467389278260029,0.9023176850312127,2511
14,AR(24)_frozen,6.823133005460112,11.260398856389134,0.905662829510299,2511
14,Ridge,7.289703915616172,11.796390105619114,0.8966322448690862,2511
14,RandomForest,8.53968981296256,13.567085833320482,0.8632712077886842,2511
14,XGBoost,9.426902023799293,16.699972695919566,0.7928340602195084,2511
14,Seasonal_naive_24h,21.51039426523298,31.892201825531124,0.24446282166971667,2511
17,AR(24)_frozen,6.871796396693444,10.827547809460565,0.9047620633653188,2476
17,Persistence,7.1542407108239106,11.422495730957747,0.8941993734641052,2476
17,Ridge,7.43688411748892,11.446407138799408,0.8937559520040401,2476
17,XGBoost,8.296079702688582,12.757781446311995,0.8680174403785801,2476
17,RandomForest,8.367249716125285,12.909290290050858,0.8648640296638807,2476
17,Seasonal_naive_24h,19.38485460420032,27.87744921758153,0.36980885361854976,2476
44,Persistence,13.830271668822768,22.879759217387388,0.8640878846320063,1546
44,AR(24)_frozen,14.831242341637399,22.690971514675507,0.866229073837053,1546
44,Ridge,15.642165378359694,23.910181020956884,0.8515702346751401,1546
44,RandomForest,21.012919313208823,36.51638492780053,0.6537970011727376,1546
44,XGBoost,22.05475751415004,39.043310037185975,0.6042248415474207,1546
44,Seasonal_naive_24h,34.54023285899094,50.42585678840388,0.33982078838211305,1546
51,Persistence,16.267270375161708,42.37443873246385,0.559488267105249,1546
51,AR(24)_frozen,17.07088207351064,42.198646627033064,0.5619281692809865,1546
51,Ridge,17.191448510096855,36.02462578807452,0.6816179909161035,1546
51,RandomForest,20.279447060379233,43.23510139189992,0.5414121690801882,1546
51,XGBoost,21.31982643539508,45.69292997800159,0.48779056127226306,1546
51,Seasonal_naive_24h,35.401843467011645,63.62996480246756,0.006717169389481081,1546
31,AR(24)_frozen,12.407927528769006,20.551697984026763,0.8714289409258567,1546
31,Persistence,12.725873221216041,21.539833320376438,0.8589618626705087,1546
31,Ridge,13.045682100287545,21.868879607184173,0.8546199029480837,1546
31,RandomForest,18.549051653538,34.16826729997568,0.6451067012318745,1546
31,XGBoost,19.467434879724916,37.011754472525666,0.583580333485032,1546
31,Seasonal_naive_24h,29.939230271668826,45.883544672720156,0.3600208728050117,1546
28,Persistence,6.294112837285364,38.36373481315904,0.6925008804872963,1223
28,AR(24)_frozen,6.537452418737544,37.455597929335354,0.6367445423467424,1223
28,Ridge,8.17935671880569,46.001951810374756,0.5578652669824055,1223
28,RandomForest,8.70819999172322,61.319209208347814,0.21441133811358215,1223
28,XGBoost,8.810002025267382,62.73790086739526,0.17763980041967298,1223
28,Seasonal_naive_24h,11.316271463614063,53.23777883858786,0.4078360407670678,1223
29,Persistence,11.97587322121604,19.9392029519647,0.8682848104779588,1546
29,AR(24)_frozen,12.041167830149444,19.162862002821484,0.8783770163081369,1546
29,Ridge,12.983733420916376,20.586882663562672,0.8595888967183021,1546
29,RandomForest,18.272693394333153,32.70620481702276,0.6456107189799658,1546
29,XGBoost,20.25801411100686,38.3073063178306,0.5138352100154318,1546
29,Seasonal_naive_24h,30.166170763260027,44.80775252439239,0.33483927893571286,1546
46,Persistence,15.945019659239842,26.69794048634313,0.8425671273220015,1526
46,AR(24)_frozen,16.66097269659837,26.064157975083724,0.8498589728281596,1526
