Model,MAE,RMSE,R2
AR(24)_frozen,2.412435216589798,4.3895529476295625,0.9814840099941438
SARIMA_auto,2.4561181121790563,4.419413319628188,0.9812650296213968
Persistence,2.7491887699593427,4.9267601568842325,0.976716588623604
XGBoost_tuned,3.730224312011612,6.939817635675028,0.9538023497395832
RandomForest_tuned,3.9704661766815788,6.473986097297156,0.9597961822945631
XGBoost,4.010996474736958,6.662756943103799,0.9574174454634549
RandomForest,4.40990204639221,6.90046414657942,0.9543248084157302
Ridge,4.6618862545691995,8.21449948460852,0.9352729247245719
Seasonal_naive_24h,9.250071199006145,16.932422220389352,0.7249814747299165
